start, goal, path_length, nodes_visited, time
43 5 106, 12 5 79, 89, 4132, 0.701479
43 5 106, 12 5 79, 89, 4131, 0.801973
43 5 106, 12 5 79, 89, 4132, 0.645529
43 5 106, 12 5 79, 89, 4131, 0.501339
43 5 106, 12 5 79, 89, 4132, 0.67799
43 5 106, 12 5 79, 89, 4132, 0.707326
43 5 106, 12 5 79, 89, 4132, 0.811688
43 5 106, 12 5 79, 89, 4132, 0.600062
43 5 106, 12 5 79, 89, 4132, 0.821213
43 5 106, 12 5 79, 89, 4132, 1.01968
43 5 106, 12 5 79, 89, 4132, 1.05851
43 5 106, 12 5 79, 89, 4131, 0.823363
43 5 106, 12 5 79, 89, 4131, 0.778543
43 5 106, 12 5 79, 89, 4131, 0.886883
